student_id,student_name,campus_id,facilitator_email,grade,parent_phone,target_score,learning_track
S001,Nora Al-Salem,C01,facilitator1@noon.com,10,+966501234501,90,Standard
S002,Layla Al-Rashid,C01,facilitator1@noon.com,11,+966501234502,95,Accelerated
S003,Ahmad Al-Mutairi,C01,facilitator1@noon.com,10,+966501234503,88,Standard
S004,Fatima Al-Qahtani,C01,facilitator1@noon.com,11,966501234504,45,Remedial
S005,Omar Al-Harbi,C01,facilitator1@noon.com,10,+966501234505,85,Standard
S006,Sara Al-Dossari,C01,facilitator1@noon.com,11,+966501234506,90,Standard
S007,Khalid Al-Shammari,C01,facilitator1@noon.com,10,+966501234507,75,Remedial
S008,Maryam Al-Zahrani,C01,facilitator1@noon.com,11,+966501234508,80,Standard
S009,Abdullah Al-Maliki,C01,facilitator1@noon.com,10,+966501234509,70,Standard
S010,Nora Al-Ghamdi,C01,facilitator1@noon.com,11,+966501234510,90,Standard
S011,Hassan Al-Otaibi,C01,facilitator1@noon.com,10,+966501234511,95,Accelerated
S012,Amal Al-Juhani,C01,facilitator1@noon.com,11,+966501234512,35,Remedial
S013,Yousef Al-Balawi,C01,facilitator1@noon.com,10,+966501234513,85,Standard
S014,Layla Al-Subai,C01,facilitator1@noon.com,11,+966501234514,70,Standard
S015,Ahmad Al-Faraj,C01,facilitator1@noon.com,10,+966501234515,75,Standard
S016,Fatima Al-Khaldi,C01,facilitator1@noon.com,11,+966501234516,65,Remedial
S017,Omar Al-Harbi,C01,facilitator1@noon.com,10,+966501234517,85,Standard
S018,Sara Al-Hamed,C01,facilitator1@noon.com,11,+966501234518,92,Accelerated
S019,Khalid Al-Anzi,C01,facilitator1@noon.com,10,+966501234519,50,Remedial
S020,Maryam Al-Shahrani,C01,facilitator1@noon.com,11,+966501234520,88,Standard
S021,Abdullah Al-Ghamdi,C01,facilitator2@noon.com,10,+966501234521,87,Standard
S022,Nora Al-Qaisi,C01,facilitator2@noon.com,11,+966501234522,40,Remedial
S023,Hassan Al-Dossari,C01,facilitator2@noon.com,10,+966501234523,90,Standard
S024,Amal Al-Mutlaq,C01,facilitator2@noon.com,11,+966501234524,70,Standard
S025,Yousef Al-Harbi,C01,facilitator2@noon.com,10,+966501234525,86,Standard
S026,Layla Al-Thani,C01,facilitator2@noon.com,11,+966501234526,91,Accelerated
S027,Ahmad Al-Salem,C01,facilitator2@noon.com,10,+966501234527,48,Remedial
S028,Fatima Al-Mansour,C01,facilitator2@noon.com,11,+966501234528,88,Standard
S029,Omar Al-Zahrani,C01,facilitator2@noon.com,10,+966501234529,72,Standard
S030,Sara Al-Turki,C01,facilitator2@noon.com,11,+966501234530,75,Standard
S031,Khalid Al-Rashidi,C01,facilitator2@noon.com,10,+966501234531,85,Standard
S032,Maryam Al-Otaibi,C01,facilitator2@noon.com,11,+966501234532,93,Accelerated
S033,Abdullah Al-Saud,C01,facilitator2@noon.com,10,+966501234533,38,Remedial
S034,Nora Al-Harbi,C01,facilitator2@noon.com,11,+966501234534,89,Standard
S035,Hassan Al-Qahtani,C01,facilitator2@noon.com,10,+966501234535,65,Remedial
S036,Amal Al-Khalifa,C01,facilitator2@noon.com,11,+966501234536,87,Standard
S037,Yousef Al-Ghamdi,C01,facilitator2@noon.com,10,+966501234537,90,Standard
S038,Layla Al-Shammari,C01,facilitator2@noon.com,11,+966501234538,42,Remedial
S039,Ahmad Al-Dossari,C01,facilitator2@noon.com,10,+966501234539,86,Standard
S040,Fatima Al-Maliki,C01,facilitator2@noon.com,11,+966501234540,70,Standard
S041,Omar Al-Juhani,C02,facilitator3@noon.com,10,+966501234541,75,Standard
S042,Sara Al-Balawi,C02,facilitator3@noon.com,11,+966501234542,84,Standard
S043,Khalid Al-Subai,C02,facilitator3@noon.com,10,+966501234543,88,Standard
S044,Maryam Al-Faraj,C02,facilitator3@noon.com,11,+966501234544,47,Remedial
S045,Abdullah Al-Khaldi,C02,facilitator3@noon.com,10,+966501234545,85,Standard
S046,Nora Al-Anzi,C02,facilitator3@noon.com,11,+966501234546,68,Remedial
S047,Hassan Al-Shahrani,C02,facilitator3@noon.com,10,+966501234547,87,Standard
S048,Amal Al-Qaisi,C02,facilitator3@noon.com,11,+966501234548,91,Accelerated
S049,Yousef Al-Mutlaq,C02,facilitator3@noon.com,10,+966501234549,38,Remedial
S050,Layla Al-Thani,C02,facilitator3@noon.com,11,+966501234550,88,Standard
S051,Ahmad Al-Mansour,C02,facilitator3@noon.com,10,+966501234551,65,Remedial
S052,Fatima Al-Rashidi,C02,facilitator3@noon.com,11,+966501234552,86,Standard
S053,Omar Al-Saud,C02,facilitator3@noon.com,10,+966501234553,93,Accelerated
S054,Sara Al-Khalifa,C02,facilitator3@noon.com,11,+966501234554,43,Remedial
S055,Khalid Al-Salem,C02,facilitator3@noon.com,10,+966501234555,87,Standard
S056,Maryam Al-Harbi,C02,facilitator3@noon.com,11,+966501234556,71,Standard
S057,Abdullah Al-Mutairi,C02,facilitator3@noon.com,10,+966501234557,75,Standard
S058,Nora Al-Dossari,C02,facilitator3@noon.com,11,+966501234558,75,Remedial
S059,Hassan Al-Zahrani,C02,facilitator3@noon.com,10,+966501234559,85,Standard
S060,Amal Al-Otaibi,C02,facilitator3@noon.com,11,+966501234560,92,Accelerated
S061,Yousef Al-Juhani,C02,facilitator3@noon.com,10,+966501234561,35,Remedial
S062,Layla Al-Balawi,C02,facilitator3@noon.com,11,+966501234562,89,Standard
S063,Ahmad Al-Subai,C02,facilitator3@noon.com,10,+966501234563,63,Remedial
S064,Fatima Al-Faraj,C02,facilitator3@noon.com,11,+966501234564,86,Standard
S065,Omar Al-Khaldi,C02,facilitator3@noon.com,10,+966501234565,90,Standard
S066,Sara Al-Anzi,C02,facilitator3@noon.com,11,+966501234566,40,Remedial
S067,Khalid Al-Shahrani,C02,facilitator3@noon.com,10,+966501234567,88,Standard
S068,Maryam Al-Qaisi,C02,facilitator3@noon.com,11,+966501234568,69,Standard
S069,Abdullah Al-Mutlaq,C02,facilitator3@noon.com,10,+966501234569,73,Standard
S070,Nora Al-Thani,C02,facilitator3@noon.com,11,+966501234570,78,Remedial
S071,Hassan Al-Mansour,C02,facilitator3@noon.com,10,+966501234571,84,Standard
S072,Amal Al-Rashidi,C02,facilitator3@noon.com,11,+966501234572,93,Accelerated
S073,Yousef Al-Saud,C02,facilitator3@noon.com,10,+966501234573,32,Remedial
S074,Layla Al-Khalifa,C02,facilitator3@noon.com,11,+966501234574,88,Standard
S075,Ahmad Al-Ghamdi,C02,facilitator3@noon.com,10,+966501234575,61,Remedial
S076,Fatima Al-Harbi,C03,facilitator4@noon.com,11,+966501234576,86,Standard
S077,Omar Al-Qahtani,C03,facilitator4@noon.com,10,+966501234577,91,Accelerated
S078,Sara Al-Shammari,C03,facilitator4@noon.com,11,+966501234578,36,Remedial
S079,Khalid Al-Zahrani,C03,facilitator4@noon.com,10,+966501234579,87,Standard
