student_id,student_name,campus_id,facilitator_email,grade,parent_phone,target_score,learning_track,total_days_in_window,days_attended,total_minutes_attended,avg_minutes_per_session,total_practice_questions,avg_practice_per_day,days_with_practice,attendance_rate,last_quiz_score,session_attended_min_pre_quiz,session_attended_min_post_quiz,practice_questions_pre_quiz,practice_questions_post_quiz,recent_consec_misses,facilitator_notes_combined,notes_resolution_summary,data_anomaly_detected,student_gender,risk_score,risk_tier,risk_reasons
S005,Omar Al-Harbi,C01,facilitator1@noon.com,10,+966501234505,85,Standard,10,8,698.0,69.8,156,15.6,8,0.8,85.0,87.25,0.0,19.5,0.0,2,اتصلت على ام عمر بخصوص غيابه الاخير. قالت انه يسهر على الالعاب. وعدت انها راح تراقب وقت الجوال. راح اتابع معاها الخميس | عمر ما حضر اليوم. ارسلت واتساب للام، ما ردت | لسا ما في عمر. اتصلت مرتين على الام، ما ردت. قلقانه عليه | عمر محتاج متابعه فورية. الموضوع بدا من مشكلة الالعاب بس الحين صار اسوأ,names_corrected,False,ذكر,4,Yellow,2 consecutive session misses; Post-quiz attendance dropped 100 % (87 → 0); Post-quiz practice dropped 100 % (20 → 0)
S006,Sara Al-Dossari,C01,facilitator1@noon.com,11,+966501234506,90,Standard,10,9,728.0,72.8,157,15.7,9,0.9,88.0,87.875,12.5,19.375,1.0,1,سارة جت ٢٥ دقيقة بس وطلعت فجأة. كانت منزعجه بس ما قالت ليش | سارة غايبه اليوم. اتصلت على ابوها، قال في مشكله عائليه - راح ترجع الاسبوع الجاي ان شاء الله,names_corrected,False,أنثى,2,Yellow,Post-quiz attendance dropped 86 % (88 → 12); Post-quiz practice dropped 95 % (19 → 1)
S007,Khalid Al-Shammari,C01,facilitator1@noon.com,10,+966501234507,75,Remedial,10,10,592.0,59.2,137,13.7,10,1.0,68.0,56.25,71.0,11.875,21.0,0,خالد كان يتعثر بالاول بس الحين تحسن. قعدت معاه بعد الحصة اشرح له الكسور | ابو خالد اتصل يشكرني! قال خالد صار واثق بنفسه اكثر. حلو اسمع كذا :),names_corrected,False,ذكر,2,Yellow,Borderline attendance (avg 59 min/session); Borderline Quiz 1 pass (score 68)
S013,Yousef Al-Balawi,C01,facilitator1@noon.com,10,+966501234513,85,Standard,10,10,796.0,79.6,160,16.0,10,1.0,84.0,87.625,47.5,18.375,6.5,0,يوسف شكلها مشغولة البال. جت ٥٠ دقيقة بس اليوم، عادة تجي كامل الحصة | يوسف جت ٤٥ دقيقة وطلعت بدري مره ثانيه. سألتها اذا كل شي تمام، قالت ايوا بس شكلها مو مرتاحه | يوسف كلمتها على جنب بعد الحصة. سألتها اذا في شي يضايقها. قالت لا بس ما بينت مرتاحه,names_corrected,False,ذكر,2,Yellow,Post-quiz attendance dropped 46 % (88 → 48); Post-quiz practice dropped 65 % (18 → 6)
S014,Layla Al-Subai,C01,facilitator1@noon.com,11,+966501234514,70,Standard,10,10,695.0,69.5,98,9.8,10,1.0,65.0,69.375,70.0,9.625,10.5,0,,no_notes,False,أنثى,2,Yellow,Below-target practice (avg 9.8 Q/day); Borderline Quiz 1 pass (score 65)
S017,Omar Al-Harbi,C01,facilitator1@noon.com,10,+966501234517,85,Standard,10,10,813.0,81.3,165,16.5,10,1.0,83.0,87.25,57.5,18.875,7.0,0,عمر كانت تبكي اليوم - سألتها، قالت مشاكل عائلية | عمر لسا حزينه بس حضرت كامل الحصة. تركتها بحالها، بس تأكدت انها بخير. هزت راسها | عمر محتاجه دعم عاطفي. المشاكل العائلية اثرت عليها بس لسا محافظه على الحضور. هذا شي ايجابي,names_corrected,False,ذكر,1,Yellow,Post-quiz practice dropped 63 % (19 → 7)
S023,Hassan Al-Dossari,C01,facilitator2@noon.com,10,+966501234523,90,Standard,10,8,698.0,69.8,168,16.8,9,0.8,88.0,87.25,0.0,20.875,0.5,2,حسن كانت موجوده امس بس اليوم ما جت. درجتها بالاختبار كانت ٨٨ يعني ممتازه | لسا ما في حسن. ارسلت واتساب للوالدين. ما في رد لحد الان | حسن غيابها غريب. درجتها كانت ممتازه وما كان في اي مؤشرات لمشكله. لازم نتواصل مع الاهل,names_corrected,False,ذكر,4,Yellow,2 consecutive session misses; Post-quiz attendance dropped 100 % (87 → 0); Post-quiz practice dropped 98 % (21 → 0)
S024,Amal Al-Mutlaq,C01,facilitator2@noon.com,11,+966501234524,70,Standard,10,10,500.0,50.0,250,25.0,10,1.0,62.0,49.75,51.0,25.0,25.0,0,أمل يحل كمية تمارين كبيرة بس كلها سهلة. لازم ينتقل للمستوى الصعب | كلمت أمل عن نوعية التمارين. شرحت له ان الكمية مو كل شي، النوعية اهم | أمل بدا يحل اسئلة صعبة شوي. التقدم بطيء بس موجود,names_corrected,False,أنثى,2,Yellow,Borderline attendance (avg 50 min/session); Borderline Quiz 1 pass (score 62)
S028,Fatima Al-Mansour,C01,facilitator2@noon.com,11,+966501234528,88,Standard,10,10,748.0,74.8,159,15.9,10,1.0,86.0,87.25,25.0,19.375,2.0,0,كلمت ام فاطمة - قالت فاطمة تعبانه بس تصر تحضر. قلت لها خليها ترتاح احسن | فاطمة جت ٣٠ دقيقة بس اليوم. غريب عليها - عادة منتظمه مره | فاطمة جت ٢٠ دقيقة وطلعت. اتصلت على امها، قالت فاطمة تعبانه بس ما بت تفوت كل الحصة,names_corrected,False,أنثى,2,Yellow,Post-quiz attendance dropped 71 % (87 → 25); Post-quiz practice dropped 90 % (19 → 2)
S039,Ahmad Al-Dossari,C01,facilitator2@noon.com,10,+966501234539,86,Standard,10,9,718.0,71.8,157,15.7,9,0.9,84.0,87.25,10.0,19.375,1.0,1,أحمد كان موجود طول الاسبوع وفجأة وقف يجي. درجته بالاختبار كانت ٨٤ يعني مو مشكلة اداء | لسا ما في أحمد. الواتساب ما وصل - يمكن الجوال مسكر؟ راح احاول اتصل بكره | حاولت اتصل على اهل أحمد مرتين، ما في رد. الواتساب ما وصل كمان,names_corrected,False,ذكر,2,Yellow,Post-quiz attendance dropped 89 % (87 → 10); Post-quiz practice dropped 95 % (19 → 1)
